Longitude,Latitude,Runoff,Precip,ET,SoilMoisture
-124.1875,40.3125,1381.6159668,2050.60253906,680.507019043,4879.09960938
-124.1875,40.4375,888.639892578,1533.90234375,668.695068359,4750.5
-124.1875,40.5625,615.42791748,1187.60253906,658.348999023,4588.50048828
-124.1875,40.6875,568.79095459,1120.98828125,597.663024902,5405.50048828
-124.1875,40.8125,488.311065674,986.404296875,566.716003418,5409.30029297
-124.1875,40.9375,480.475982666,1014.70629883,676.95300293,4471.69970703
-124.1875,41.6875,1724.52416992,2457.57226562,744.731018066,5195.90039062
-124.1875,41.8125,1256.49597168,1866.54614258,627.477050781,5950.40039062
-124.1875,41.9375,1308.2980957,2046.5682373,766.010986328,5163.29980469
-124.1875,42.0625,1634.56896973,2202.02563477,920.496032715,11499.7001953
-124.1875,42.1875,1852.45178223,2454.01879883,914.953063965,11733.0
-124.1875,42.3125,2128.00195312,2781.10717773,878.974975586,12075.9013672
-124.1875,42.4375,2207.73120117,2856.93212891,859.435974121,11238.0
-124.1875,42.5625,1598.37121582,2340.69848633,1024.86889648,11071.0
-124.1875,42.6875,1906.82006836,2642.6328125,1001.35510254,11510.5009766
-124.1875,42.8125,1430.25,2180.38964844,1056.57910156,11050.3007812
-124.1875,42.9375,895.155029297,1689.73608398,1048.77807617,10305.5
-124.1875,43.0625,615.543029785,1411.40136719,1021.57299805,9637.79980469
-124.1875,43.1875,668.687988281,1396.46142578,934.694946289,9948.19921875
-124.1875,43.3125,854.904968262,1483.02612305,856.092041016,10663.1005859
-124.1875,43.4375,1056.26501465,1572.25744629,754.897033691,11241.2998047
-124.1875,43.5625,1011.41491699,1637.24682617,889.925964355,10903.6992188
-124.1875,43.6875,1128.03100586,1789.01416016,927.283874512,11048.0996094
-124.1875,43.8125,1054.05700684,1749.04101562,965.589050293,10875.4013672
-124.1875,43.9375,1218.01000977,1772.47338867,763.826965332,11650.4003906
-124.1875,44.0625,1222.28588867,1754.5970459,738.71697998,11705.3007812
-124.1875,46.9375,1543.84399414,1860.35693359,317.462982178,11972.2001953
