Index,Group,Column1,Row1,Column2,Row2,Column3,Row3
110,"Irrigation, Total self-supplied surface-water withdrawals, saline, in Mgal/d",,,,,,
111,"Irrigation, Total total consumptive use, in Mgal/d",,,,,,
112,"Irrigation, Total total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
113,"Irrigation, Total total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
114,"Irrigation, Total total self-supplied withdrawals, in Mgal/d",,,,,,
115,"Irrigation, Total total self-supplied withdrawals, saline, in Mgal/d",,,,,,
116,"Irrigation, Total total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
117,"Livestock (Animal Specialties) consumptive use, fresh, in Mgal/d",,,,,,
118,"Livestock (Animal Specialties) consumptive use, saline, in Mgal/d",,,,,,
119,"Livestock (Animal Specialties) self-supplied groundwater withdrawals, fresh, in Mgal/d",D,31,,,,
120,"Livestock (Animal Specialties) self-supplied groundwater withdrawals, saline, in Mgal/d",,,,,,
121,"Livestock (Animal Specialties) self-supplied surface-water withdrawals, fresh, in Mgal/d",D,30,,,,
122,"Livestock (Animal Specialties) self-supplied surface-water withdrawals, saline, in Mgal/d",,,,,,
123,"Livestock (Animal Specialties) total consumptive use, in Mgal/d",,,,,,
124,"Livestock (Animal Specialties) total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
125,"Livestock (Animal Specialties) total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
126,"Livestock (Animal Specialties) total self-supplied withdrawals, in Mgal/d",,,,,,
127,"Livestock (Animal Specialties) total self-supplied withdrawals, saline, in Mgal/d",,,,,,
128,"Livestock (Animal Specialties) total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
129,"Livestock (Stock) consumptive use, fresh, in Mgal/d",,,,,,
130,"Livestock (Stock) consumptive use, saline, in Mgal/d",,,,,,
131,"Livestock (Stock) self-supplied groundwater withdrawals, fresh, in Mgal/d",E,31,,,,
132,"Livestock (Stock) self-supplied groundwater withdrawals, saline, in Mgal/d",,,,,,
133,"Livestock (Stock) self-supplied surface-water withdrawals, fresh, in Mgal/d",E,30,,,,
